galaxy,mean_abs_W,std_W,max_abs_W,frac_W_gt_1,cluster
NGC6195,0.2631502530325856,0.1523536442980442,0.4800716991398123,0.0,0
NGC6503,1.5099843911059747,1.1567940880165797,3.447981078510828,0.6129032258064516,2
NGC6674,1.2001215374668488,0.89082486719398,2.857500745001403,0.4666666666666667,2
NGC6789,2.894129842654364,1.610052057349504,5.104953061864493,1.0,2
NGC6946,0.2591440676037189,0.2892032954566531,0.5741071598892309,0.0,0
NGC7331,0.3533789529281879,0.3948237493190767,0.6720113035567931,0.0,0
NGC7793,0.2553212707705856,0.351039967829246,0.8883804913738513,0.0,0
NGC7814,0.638202157471642,0.6387961120486753,1.598541527997118,0.2777777777777778,0
PGC51017,0.5386451241951027,0.9049225933032962,1.958640285662791,0.1666666666666666,0
UGC00128,3.5947354422535103,1.4292017026303154,6.359475578232442,0.9545454545454546,2
UGC00191,1.388442383624717,0.5749488132224309,2.2592323296566565,0.7777777777777778,2
UGC00634,2.8677799375416413,1.4091480758463346,4.463247196707108,1.0,2
UGC00731,6.365171573033734,3.723902910032732,13.179089985176171,1.0,1
UGC00891,2.49027634326605,1.6700080575491305,4.683357263013311,0.8,2
UGC01230,2.1071400949007377,0.947143276849052,3.1728417894313,0.8181818181818182,2
UGC01281,1.9877683109725823,1.2225961540973385,3.593996733772552,0.72,2
UGC02023,0.3940250949143204,0.541394275057891,1.0155617475360603,0.2,0
UGC02259,2.8751439370915994,0.6218348306383594,4.071409936754215,1.0,2
UGC02455,0.6978601355820078,0.211343554693983,0.871815712762359,0.0,0
UGC02487,1.2073764365224386,0.8149514314512165,2.791412265390489,0.5882352941176471,2
UGC02885,0.687615761674114,0.582482059562333,1.637164899369638,0.3157894736842105,0
UGC02916,0.2842589822807646,0.3626515640804003,1.173651653970156,0.0232558139534883,0
UGC02953,0.6129087292586035,1.0155548382580557,7.051385465680784,0.2,2
UGC03205,0.354800009324644,0.517642917645843,2.3513870615520176,0.0833333333333333,0
UGC03546,0.4410665273004233,0.5010552535647297,1.308715092359822,0.0333333333333333,0
UGC03580,0.8311714741448941,1.1323380494141002,3.5515770107233804,0.1702127659574468,0
UGC04278,1.7650360411393988,1.0747118544990055,3.7954324704577,0.64,2
UGC04305,0.2728304662707757,0.2698970510541276,0.7645750993929823,0.0,0
UGC04325,2.2357826662553126,0.6459532362880095,3.3551994392496995,1.0,2
UGC04483,1.2002669685379903,0.6256926988203777,1.9018618424997031,0.625,2
UGC04499,1.1425016065613194,0.6139042657399182,1.6559210536206557,0.6666666666666666,2
UGC05005,1.64496805002848,1.4235901672846645,3.485959647598921,0.5454545454545454,2
UGC05253,0.3917633069812843,0.5395706785245332,1.8199836464209045,0.1232876712328767,0
UGC05414,0.6516957092144051,0.411181699415639,1.1884693839462983,0.1666666666666666,0
UGC05716,3.423093951489795,0.8109791110445581,4.649757727513745,1.0,2
UGC05721,2.996490622624408,1.9609042220244437,5.661515439032366,0.7391304347826086,2
UGC05750,1.2449885548493524,0.8353367343289786,2.00520614487685,0.6363636363636364,2
UGC05764,5.909876833913578,2.321951861896176,11.64038692945488,1.0,1
UGC05829,2.3016784843114007,0.5227845618267988,3.0498156594629706,1.0,2
UGC05918,3.3586334945310616,0.781744577595565,4.5553850479577385,1.0,2
UGC05986,1.4756795001817682,0.9199623777692134,2.7297917943638743,0.6666666666666666,2
UGC05999,1.8709767882735668,0.9413788035998832,2.761559004358783,0.8,2
UGC06399,1.5658853560132284,0.5697831945257097,2.3094753838749247,0.7777777777777778,2
UGC06446,2.971703915450968,0.5727102786814671,3.557695981301761,1.0,2
UGC06614,0.7356326861293696,0.9348053040713376,2.4123214354971134,0.3076923076923077,0
UGC06628,0.2397483991388008,0.1650443234486724,0.4355480292068068,0.0,0
UGC06667,8.748433988095176,3.9053579339054703,16.008098460226968,1.0,1
